"Step","4l4h32-gps-cycle-check (ba+sbm) - train/acc","4l4h32-gps-cycle-check (ba+sbm) - train/acc__MIN","4l4h32-gps-cycle-check (ba+sbm) - train/acc__MAX","4l4h32-gps-cycle-check (ba+sbm) - val/acc","4l4h32-gps-cycle-check (ba+sbm) - val/acc__MIN","4l4h32-gps-cycle-check (ba+sbm) - val/acc__MAX","2l4h16-ibtt-cycle-check (ba+sbm) - train/acc","2l4h16-ibtt-cycle-check (ba+sbm) - train/acc__MIN","2l4h16-ibtt-cycle-check (ba+sbm) - train/acc__MAX","2l4h16-ibtt-cycle-check (ba+sbm) - val/acc","2l4h16-ibtt-cycle-check (ba+sbm) - val/acc__MIN","2l4h16-ibtt-cycle-check (ba+sbm) - val/acc__MAX","5l64-mpnn-cycle-check (ba+sbm) - train/acc","5l64-mpnn-cycle-check (ba+sbm) - train/acc__MIN","5l64-mpnn-cycle-check (ba+sbm) - train/acc__MAX","5l64-mpnn-cycle-check (ba+sbm) - val/acc","5l64-mpnn-cycle-check (ba+sbm) - val/acc__MIN","5l64-mpnn-cycle-check (ba+sbm) - val/acc__MAX","4l4h32-agtt-cycle-check (ba+sbm) - train/acc","4l4h32-agtt-cycle-check (ba+sbm) - train/acc__MIN","4l4h32-agtt-cycle-check (ba+sbm) - train/acc__MAX","4l4h32-agtt-cycle-check (ba+sbm) - val/acc","4l4h32-agtt-cycle-check (ba+sbm) - val/acc__MIN","4l4h32-agtt-cycle-check (ba+sbm) - val/acc__MAX"
"1","","","","","","","0.9071180555555555","0.9071180555555555","0.9071180555555555","0.9213362068965517","0.9213362068965517","0.9213362068965517","","","","","","","0.90234375","0.90234375","0.90234375","0.9197048611111112","0.9197048611111112","0.9197048611111112"
"2","0.5256076388888888","0.5256076388888888","0.5256076388888888","0.07335069444444445","0.07335069444444445","0.07335069444444445","0.9066358024691358","0.9066358024691358","0.9066358024691358","0.9213362068965517","0.9213362068965517","0.9213362068965517","0.3168402777777778","0.3168402777777778","0.3168402777777778","0.9049479166666667","0.9049479166666667","0.9049479166666667","0.9114583333333333","0.9114583333333333","0.9114583333333333","0.9197048611111112","0.9197048611111112","0.9197048611111112"
"3","0.5334201388888888","0.5334201388888888","0.5334201388888888","0.07335069444444445","0.07335069444444445","0.07335069444444445","0.9066358024691358","0.9066358024691358","0.9066358024691358","0.9213362068965517","0.9213362068965517","0.9213362068965517","0.7278645833333333","0.7278645833333333","0.7278645833333333","0.9157986111111112","0.9157986111111112","0.9157986111111112","0.8993055555555556","0.8993055555555556","0.8993055555555556","0.9197048611111112","0.9197048611111112","0.9197048611111112"
"4","0.5920138888888888","0.5920138888888888","0.5920138888888888","0.07335069444444445","0.07335069444444445","0.07335069444444445","0.906153549382716","0.906153549382716","0.906153549382716","0.9213362068965517","0.9213362068965517","0.9213362068965517","0.8420138888888888","0.8420138888888888","0.8420138888888888","0.9157986111111112","0.9157986111111112","0.9157986111111112","0.90234375","0.90234375","0.90234375","0.9197048611111112","0.9197048611111112","0.9197048611111112"
"5","0.5546875","0.5546875","0.5546875","0.07335069444444445","0.07335069444444445","0.07335069444444445","0.9066358024691358","0.9066358024691358","0.9066358024691358","0.9213362068965517","0.9213362068965517","0.9213362068965517","0.8719618055555556","0.8719618055555556","0.8719618055555556","0.9157986111111112","0.9157986111111112","0.9157986111111112","0.9114583333333333","0.9114583333333333","0.9114583333333333","0.9197048611111112","0.9197048611111112","0.9197048611111112"
"6","0.6267361111111112","0.6267361111111112","0.6267361111111112","0.07335069444444445","0.07335069444444445","0.07335069444444445","0.906153549382716","0.906153549382716","0.906153549382716","0.9213362068965517","0.9213362068965517","0.9213362068965517","0.9006076388888888","0.9006076388888888","0.9006076388888888","0.9157986111111112","0.9157986111111112","0.9157986111111112","0.9114583333333333","0.9114583333333333","0.9114583333333333","0.9197048611111112","0.9197048611111112","0.9197048611111112"
"7","0.6575520833333333","0.6575520833333333","0.6575520833333333","0.07335069444444445","0.07335069444444445","0.07335069444444445","0.9076003086419754","0.9076003086419754","0.9076003086419754","0.9213362068965517","0.9213362068965517","0.9213362068965517","0.89453125","0.89453125","0.89453125","0.9118923611111112","0.9118923611111112","0.9118923611111112","0.8993055555555556","0.8993055555555556","0.8993055555555556","0.9197048611111112","0.9197048611111112","0.9197048611111112"
"8","0.7291666666666667","0.7291666666666667","0.7291666666666667","0.07335069444444445","0.07335069444444445","0.07335069444444445","0.9071180555555555","0.9071180555555555","0.9071180555555555","0.9213362068965517","0.9213362068965517","0.9213362068965517","0.9153645833333333","0.9153645833333333","0.9153645833333333","0.9118923611111112","0.9118923611111112","0.9118923611111112","0.9053819444444444","0.9053819444444444","0.9053819444444444","0.9197048611111112","0.9197048611111112","0.9197048611111112"
"9","0.7638888888888888","0.7638888888888888","0.7638888888888888","0.07335069444444445","0.07335069444444445","0.07335069444444445","0.9066358024691358","0.9066358024691358","0.9066358024691358","0.9213362068965517","0.9213362068965517","0.9213362068965517","0.9292534722222222","0.9292534722222222","0.9292534722222222","0.9049479166666667","0.9049479166666667","0.9049479166666667","0.9175347222222222","0.9175347222222222","0.9175347222222222","0.9197048611111112","0.9197048611111112","0.9197048611111112"
"10","0.7647569444444444","0.7647569444444444","0.7647569444444444","0.07335069444444445","0.07335069444444445","0.07335069444444445","0.9071180555555555","0.9071180555555555","0.9071180555555555","0.9213362068965517","0.9213362068965517","0.9213362068965517","0.9262152777777778","0.9262152777777778","0.9262152777777778","0.9010416666666667","0.9010416666666667","0.9010416666666667","0.9153645833333333","0.9153645833333333","0.9153645833333333","0.93359375","0.93359375","0.93359375"
