"Step","4l4h32-agtt-shortest-path (path) - train/loss","4l4h32-agtt-shortest-path (path) - train/loss__MIN","4l4h32-agtt-shortest-path (path) - train/loss__MAX","4l4h32-agtt-shortest-path (path) - val/loss","4l4h32-agtt-shortest-path (path) - val/loss__MIN","4l4h32-agtt-shortest-path (path) - val/loss__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/loss","5l64-mpnn-shortest-path (er+sbm+path) - train/loss__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/loss__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/loss","5l64-mpnn-shortest-path (er+sbm+path) - val/loss__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/loss__MAX","4l4h32-gps-shortest-path (er+sbm+path) - train/loss","4l4h32-gps-shortest-path (er+sbm+path) - train/loss__MIN","4l4h32-gps-shortest-path (er+sbm+path) - train/loss__MAX","4l4h32-gps-shortest-path (er+sbm+path) - val/loss","4l4h32-gps-shortest-path (er+sbm+path) - val/loss__MIN","4l4h32-gps-shortest-path (er+sbm+path) - val/loss__MAX","2l4h16-ibtt-shortest-path (path) - train/loss","2l4h16-ibtt-shortest-path (path) - train/loss__MIN","2l4h16-ibtt-shortest-path (path) - train/loss__MAX","2l4h16-ibtt-shortest-path (path) - val/loss","2l4h16-ibtt-shortest-path (path) - val/loss__MIN","2l4h16-ibtt-shortest-path (path) - val/loss__MAX"
"11","2.537661373615265","2.537661373615265","2.537661373615265","2.524404853582382","2.524404853582382","2.524404853582382","1.0726862450440724","1.0726862450440724","1.0726862450440724","1.0477910041809082","1.0477910041809082","1.0477910041809082","0.8291917145252228","0.8291917145252228","0.8291917145252228","0.8545072774092356","0.8545072774092356","0.8545072774092356","1.9976854085922242","1.9976854085922242","1.9976854085922242","2.0332678739841166","2.0332678739841166","2.0332678739841166"
"12","2.5116880536079407","2.5116880536079407","2.5116880536079407","2.520684599876404","2.520684599876404","2.520684599876404","1.0442492986718814","1.0442492986718814","1.0442492986718814","0.991574356953303","0.991574356953303","0.991574356953303","0.8134937534729639","0.8134937534729639","0.8134937534729639","0.8670379230752587","0.8670379230752587","0.8670379230752587","1.9602632999420166","1.9602632999420166","1.9602632999420166","1.9991266544048603","1.9991266544048603","1.9991266544048603"
"13","2.5171135663986206","2.5171135663986206","2.5171135663986206","2.515148252248764","2.515148252248764","2.515148252248764","1.0173529510696728","1.0173529510696728","1.0173529510696728","1.0122496237357457","1.0122496237357457","1.0122496237357457","0.7994269952178001","0.7994269952178001","0.7994269952178001","1.02812776217858","1.02812776217858","1.02812776217858","1.9242791414260865","1.9242791414260865","1.9242791414260865","1.9741145830888014","1.9741145830888014","1.9741145830888014"
"14","2.5081838071346283","2.5081838071346283","2.5081838071346283","2.504041373729706","2.504041373729706","2.504041373729706","0.9662759974598885","0.9662759974598885","0.9662759974598885","0.931092814852794","0.931092814852794","0.931092814852794","0.7932344724734625","0.7932344724734625","0.7932344724734625","0.9990198637048403","0.9990198637048403","0.9990198637048403","1.8909512678782145","1.8909512678782145","1.8909512678782145","1.9449322682160597","1.9449322682160597","1.9449322682160597"
"15","2.489708572626114","2.489708572626114","2.489708572626114","2.515669822692871","2.515669822692871","2.515669822692871","0.9351876775423685","0.9351876775423685","0.9351876775423685","0.9662368508676688","0.9662368508676688","0.9662368508676688","0.7640087281664213","0.7640087281664213","0.7640087281664213","0.9220403879880905","0.9220403879880905","0.9220403879880905","1.8631171067555745","1.8631171067555745","1.8631171067555745","1.9227242194689238","1.9227242194689238","1.9227242194689238"
"16","2.5033472776412964","2.5033472776412964","2.5033472776412964","2.5015233159065247","2.5015233159065247","2.5015233159065247","0.9034754584232966","0.9034754584232966","0.9034754584232966","0.8895036801695824","0.8895036801695824","0.8895036801695824","0.7033535142739614","0.7033535142739614","0.7033535142739614","0.7315719113685191","0.7315719113685191","0.7315719113685191","1.8375410318374634","1.8375410318374634","1.8375410318374634","1.908837024982159","1.908837024982159","1.908837024982159"
"17","2.473155200481415","2.473155200481415","2.473155200481415","2.4900401532649994","2.4900401532649994","2.4900401532649994","0.8853155001997948","0.8853155001997948","0.8853155001997948","0.8457287177443504","0.8457287177443504","0.8457287177443504","0.6879392638802528","0.6879392638802528","0.6879392638802528","0.7561809946782887","0.7561809946782887","0.7561809946782887","1.820449137687683","1.820449137687683","1.820449137687683","1.8909067098910992","1.8909067098910992","1.8909067098910992"
"18","2.475010395050049","2.475010395050049","2.475010395050049","2.495524823665619","2.495524823665619","2.495524823665619","0.8683238849043846","0.8683238849043846","0.8683238849043846","0.9085804608960947","0.9085804608960947","0.9085804608960947","0.6675831054647764","0.6675831054647764","0.6675831054647764","0.7502644658088684","0.7502644658088684","0.7502644658088684","1.8062156041463215","1.8062156041463215","1.8062156041463215","1.8743810103489802","1.8743810103489802","1.8743810103489802"
"19","2.466549575328827","2.466549575328827","2.466549575328827","2.4844552874565125","2.4844552874565125","2.4844552874565125","0.8625532363851866","0.8625532363851866","0.8625532363851866","0.8385039021571478","0.8385039021571478","0.8385039021571478","0.6650572419166565","0.6650572419166565","0.6650572419166565","0.7254064828157425","0.7254064828157425","0.7254064828157425","1.7811307907104492","1.7811307907104492","1.7811307907104492","1.8581852637804472","1.8581852637804472","1.8581852637804472"
"20","2.4602108895778656","2.4602108895778656","2.4602108895778656","2.4734505116939545","2.4734505116939545","2.4734505116939545","0.8212776879469553","0.8212776879469553","0.8212776879469553","0.8358376224835714","0.8358376224835714","0.8358376224835714","0.6499121201535066","0.6499121201535066","0.6499121201535066","0.7069248640909791","0.7069248640909791","0.7069248640909791","1.7591073592503865","1.7591073592503865","1.7591073592503865","1.8512260363652155","1.8512260363652155","1.8512260363652155"
"21","2.434129059314728","2.434129059314728","2.434129059314728","2.4825839698314667","2.4825839698314667","2.4825839698314667","0.8361769169569016","0.8361769169569016","0.8361769169569016","0.7806495539844036","0.7806495539844036","0.7806495539844036","0.6492987858752409","0.6492987858752409","0.6492987858752409","0.7510407821585735","0.7510407821585735","0.7510407821585735","1.7390506664911907","1.7390506664911907","1.7390506664911907","1.829807079755343","1.829807079755343","1.829807079755343"
"22","2.4270364344120026","2.4270364344120026","2.4270364344120026","2.5246120393276215","2.5246120393276215","2.5246120393276215","0.7955294648806254","0.7955294648806254","0.7955294648806254","0.8690652412672838","0.8690652412672838","0.8690652412672838","0.6388466681043307","0.6388466681043307","0.6388466681043307","0.7246569413691759","0.7246569413691759","0.7246569413691759","1.7194149573644002","1.7194149573644002","1.7194149573644002","1.8120149007210364","1.8120149007210364","1.8120149007210364"
"23","2.426942765712738","2.426942765712738","2.426942765712738","2.4578590393066406","2.4578590393066406","2.4578590393066406","0.7740610366066297","0.7740610366066297","0.7740610366066297","0.8354547520478567","0.8354547520478567","0.8354547520478567","0.6268717100222906","0.6268717100222906","0.6268717100222906","0.7514022557685772","0.7514022557685772","0.7514022557685772","1.7056662877400717","1.7056662877400717","1.7056662877400717","1.8030605958058283","1.8030605958058283","1.8030605958058283"
"24","2.4241202771663666","2.4241202771663666","2.4241202771663666","2.4601466059684753","2.4601466059684753","2.4601466059684753","0.7789295141895612","0.7789295141895612","0.7789295141895612","1.0065632636348407","1.0065632636348407","1.0065632636348407","0.6250323119262854","0.6250323119262854","0.6250323119262854","0.68797343938301","0.68797343938301","0.68797343938301","1.6868879477183023","1.6868879477183023","1.6868879477183023","1.7988365980295034","1.7988365980295034","1.7988365980295034"
"25","2.4106785356998444","2.4106785356998444","2.4106785356998444","2.4465880692005157","2.4465880692005157","2.4465880692005157","0.758922261496385","0.758922261496385","0.758922261496385","0.7544188306977352","0.7544188306977352","0.7544188306977352","0.6148410799602667","0.6148410799602667","0.6148410799602667","0.7279646544872472","0.7279646544872472","0.7279646544872472","1.6777423938115439","1.6777423938115439","1.6777423938115439","1.7830954423317542","1.7830954423317542","1.7830954423317542"
