"Step","4l4h32-agtt-shortest-path (path) - train/f1","4l4h32-agtt-shortest-path (path) - train/f1__MIN","4l4h32-agtt-shortest-path (path) - train/f1__MAX","4l4h32-agtt-shortest-path (path) - val/f1","4l4h32-agtt-shortest-path (path) - val/f1__MIN","4l4h32-agtt-shortest-path (path) - val/f1__MAX","4l4h32-agtt-shortest-path (er) - train/f1","4l4h32-agtt-shortest-path (er) - train/f1__MIN","4l4h32-agtt-shortest-path (er) - train/f1__MAX","4l4h32-agtt-shortest-path (er) - val/f1","4l4h32-agtt-shortest-path (er) - val/f1__MIN","4l4h32-agtt-shortest-path (er) - val/f1__MAX","4l4h32-agtt-shortest-path (er+sbm+path) - train/f1","4l4h32-agtt-shortest-path (er+sbm+path) - train/f1__MIN","4l4h32-agtt-shortest-path (er+sbm+path) - train/f1__MAX","4l4h32-agtt-shortest-path (er+sbm+path) - val/f1","4l4h32-agtt-shortest-path (er+sbm+path) - val/f1__MIN","4l4h32-agtt-shortest-path (er+sbm+path) - val/f1__MAX"
"1","0.02683353762511945","0.02683353762511945","0.02683353762511945","0.021511997719829215","0.021511997719829215","0.021511997719829215","0.09594340101379492","0.09594340101379492","0.09594340101379492","0.08948077121322327","0.08948077121322327","0.08948077121322327","0.055465568125155636","0.055465568125155636","0.055465568125155636","0.1034074380099523","0.1034074380099523","0.1034074380099523"
"2","0.03639729765077933","0.03639729765077933","0.03639729765077933","0.028090067009351374","0.028090067009351374","0.028090067009351374","0.07831427145924948","0.07831427145924948","0.07831427145924948","0.07859422257633121","0.07859422257633121","0.07859422257633121","0.05649999332672772","0.05649999332672772","0.05649999332672772","0.08832685212259389","0.08832685212259389","0.08832685212259389"
"3","0.02173692311517869","0.02173692311517869","0.02173692311517869","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.08708540984955532","0.08708540984955532","0.08708540984955532","0.07854399318907584","0.07854399318907584","0.07854399318907584","0.07560871214626867","0.07560871214626867","0.07560871214626867","0.11799435954197386","0.11799435954197386","0.11799435954197386"
"4","0.01669588229259971","0.01669588229259971","0.01669588229259971","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.11167378769451583","0.11167378769451583","0.11167378769451583","0.07859422257633121","0.07859422257633121","0.07859422257633121","0.08042788283845304","0.08042788283845304","0.08042788283845304","0.08264232036029263","0.08264232036029263","0.08264232036029263"
"5","0.017441813451682737","0.017441813451682737","0.017441813451682737","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.08107335991836237","0.08107335991836237","0.08107335991836237","0.08418085027341274","0.08418085027341274","0.08418085027341274","0.07513782833261201","0.07513782833261201","0.07513782833261201","0.10317904139547586","0.10317904139547586","0.10317904139547586"
"6","0.020719350356578882","0.020719350356578882","0.020719350356578882","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.11070986913094967","0.11070986913094967","0.11070986913094967","0.11139011303493902","0.11139011303493902","0.11139011303493902","0.07987932189086074","0.07987932189086074","0.07987932189086074","0.12333981257723729","0.12333981257723729","0.12333981257723729"
"7","0.017353558056479267","0.017353558056479267","0.017353558056479267","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.11335376687626283","0.11335376687626283","0.11335376687626283","0.0793497281061731","0.0793497281061731","0.0793497281061731","0.08000066223502224","0.08000066223502224","0.08000066223502224","0.11119513391782927","0.11119513391782927","0.11119513391782927"
"8","0.01786458315735218","0.01786458315735218","0.01786458315735218","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.09708885258025879","0.09708885258025879","0.09708885258025879","0.13559938581528433","0.13559938581528433","0.13559938581528433","0.07335045581303448","0.07335045581303448","0.07335045581303448","0.11308152584679987","0.11308152584679987","0.11308152584679987"
"9","0.026674448306027644","0.026674448306027644","0.026674448306027644","0.019446084628947716","0.019446084628947716","0.019446084628947716","0.1283508177245753","0.1283508177245753","0.1283508177245753","0.12019391592906392","0.12019391592906392","0.12019391592906392","0.08482111493442464","0.08482111493442464","0.08482111493442464","0.1113015789090277","0.1113015789090277","0.1113015789090277"
"10","0.02467938425354594","0.02467938425354594","0.02467938425354594","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.14401030383572655","0.14401030383572655","0.14401030383572655","0.10307287304537233","0.10307287304537233","0.10307287304537233","0.07846755134952928","0.07846755134952928","0.07846755134952928","0.11003741506255404","0.11003741506255404","0.11003741506255404"
