"Step","4l4h32-agtt-shortest-path (path) - train/acc","4l4h32-agtt-shortest-path (path) - train/acc__MIN","4l4h32-agtt-shortest-path (path) - train/acc__MAX","4l4h32-agtt-shortest-path (path) - val/acc","4l4h32-agtt-shortest-path (path) - val/acc__MIN","4l4h32-agtt-shortest-path (path) - val/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/acc","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/acc","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MAX","4l4h32-gps-shortest-path (er+sbm+path) - train/acc","4l4h32-gps-shortest-path (er+sbm+path) - train/acc__MIN","4l4h32-gps-shortest-path (er+sbm+path) - train/acc__MAX","4l4h32-gps-shortest-path (er+sbm+path) - val/acc","4l4h32-gps-shortest-path (er+sbm+path) - val/acc__MIN","4l4h32-gps-shortest-path (er+sbm+path) - val/acc__MAX","2l4h16-ibtt-shortest-path (path) - train/acc","2l4h16-ibtt-shortest-path (path) - train/acc__MIN","2l4h16-ibtt-shortest-path (path) - train/acc__MAX","2l4h16-ibtt-shortest-path (path) - val/acc","2l4h16-ibtt-shortest-path (path) - val/acc__MIN","2l4h16-ibtt-shortest-path (path) - val/acc__MAX"
"11","0.14670973557692307","0.14670973557692307","0.14670973557692307","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.6568375254065041","0.6568375254065041","0.6568375254065041","0.660381610576923","0.660381610576923","0.660381610576923","0.7041095020325203","0.7041095020325203","0.7041095020325203","0.6904547275641025","0.6904547275641025","0.6904547275641025","0.2865327380952381","0.2865327380952381","0.2865327380952381","0.2578125","0.2578125","0.2578125"
"12","0.14295372596153846","0.14295372596153846","0.14295372596153846","0.130859375","0.130859375","0.130859375","0.6610295985772358","0.6610295985772358","0.6610295985772358","0.6916065705128206","0.6916065705128206","0.6916065705128206","0.7058958968495935","0.7058958968495935","0.7058958968495935","0.6917317708333334","0.6917317708333334","0.6917317708333334","0.303422619047619","0.303422619047619","0.303422619047619","0.2668269230769231","0.2668269230769231","0.2668269230769231"
"13","0.13521634615384615","0.13521634615384615","0.13521634615384615","0.13040865384615385","0.13040865384615385","0.13040865384615385","0.6773056402439025","0.6773056402439025","0.6773056402439025","0.6996945112179488","0.6996945112179488","0.6996945112179488","0.7108263465447154","0.7108263465447154","0.7108263465447154","0.6422776442307693","0.6422776442307693","0.6422776442307693","0.3064732142857143","0.3064732142857143","0.3064732142857143","0.2734375","0.2734375","0.2734375"
"14","0.13311298076923078","0.13311298076923078","0.13311298076923078","0.1328125","0.1328125","0.1328125","0.6799892022357724","0.6799892022357724","0.6799892022357724","0.7120643028846154","0.7120643028846154","0.7120643028846154","0.7154233358739838","0.7154233358739838","0.7154233358739838","0.6454827724358975","0.6454827724358975","0.6454827724358975","0.3238839285714286","0.3238839285714286","0.3238839285714286","0.3088942307692308","0.3088942307692308","0.3088942307692308"
"15","0.14528245192307693","0.14528245192307693","0.14528245192307693","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.6921922637195123","0.6921922637195123","0.6921922637195123","0.7085086137820512","0.7085086137820512","0.7085086137820512","0.7234819613821138","0.7234819613821138","0.7234819613821138","0.6848707932692308","0.6848707932692308","0.6848707932692308","0.3365327380952381","0.3365327380952381","0.3365327380952381","0.2848557692307692","0.2848557692307692","0.2848557692307692"
"16","0.14783653846153846","0.14783653846153846","0.14783653846153846","0.13521634615384615","0.13521634615384615","0.13521634615384615","0.710619918699187","0.710619918699187","0.710619918699187","0.7169471153846154","0.7169471153846154","0.7169471153846154","0.7471179496951219","0.7471179496951219","0.7471179496951219","0.7359775641025642","0.7359775641025642","0.7359775641025642","0.34255952380952376","0.34255952380952376","0.34255952380952376","0.2902644230769231","0.2902644230769231","0.2902644230769231"
"17","0.14716045673076922","0.14716045673076922","0.14716045673076922","0.13063401442307693","0.13063401442307693","0.13063401442307693","0.7068407012195123","0.7068407012195123","0.7068407012195123","0.7169471153846154","0.7169471153846154","0.7169471153846154","0.7442358993902438","0.7442358993902438","0.7442358993902438","0.7284905849358975","0.7284905849358975","0.7284905849358975","0.33735119047619044","0.33735119047619044","0.33735119047619044","0.28725961538461536","0.28725961538461536","0.28725961538461536"
"18","0.14085036057692307","0.14085036057692307","0.14085036057692307","0.12424879807692307","0.12424879807692307","0.12424879807692307","0.7050940040650406","0.7050940040650406","0.7050940040650406","0.7130408653846154","0.7130408653846154","0.7130408653846154","0.7535092733739838","0.7535092733739838","0.7535092733739838","0.733623798076923","0.733623798076923","0.733623798076923","0.35833333333333334","0.35833333333333334","0.35833333333333334","0.3215144230769231","0.3215144230769231","0.3215144230769231"
"19","0.1484375","0.1484375","0.1484375","0.12770432692307693","0.12770432692307693","0.12770432692307693","0.6981310340447154","0.6981310340447154","0.6981310340447154","0.705303485576923","0.705303485576923","0.705303485576923","0.7531440548780487","0.7531440548780487","0.7531440548780487","0.7326973157051282","0.7326973157051282","0.7326973157051282","0.3660714285714286","0.3660714285714286","0.3660714285714286","0.3010817307692308","0.3010817307692308","0.3010817307692308"
"20","0.1475360576923077","0.1475360576923077","0.1475360576923077","0.1289813701923077","0.1289813701923077","0.1289813701923077","0.7280789507113821","0.7280789507113821","0.7280789507113821","0.7182992788461539","0.7182992788461539","0.7182992788461539","0.7608692200203252","0.7608692200203252","0.7608692200203252","0.7333233173076922","0.7333233173076922","0.7333233173076922","0.37544642857142857","0.37544642857142857","0.37544642857142857","0.29627403846153844","0.29627403846153844","0.29627403846153844"
"21","0.13701923076923078","0.13701923076923078","0.13701923076923078","0.12282151442307693","0.12282151442307693","0.12282151442307693","0.7063166920731708","0.7063166920731708","0.7063166920731708","0.7261117788461539","0.7261117788461539","0.7261117788461539","0.7573758257113821","0.7573758257113821","0.7573758257113821","0.7349509214743589","0.7349509214743589","0.7349509214743589","0.38184523809523807","0.38184523809523807","0.38184523809523807","0.31310096153846156","0.31310096153846156","0.31310096153846156"
"22","0.14227764423076922","0.14227764423076922","0.14227764423076922","0.12650240384615385","0.12650240384615385","0.12650240384615385","0.7240536077235772","0.7240536077235772","0.7240536077235772","0.7153695913461539","0.7153695913461539","0.7153695913461539","0.7548510543699187","0.7548510543699187","0.7548510543699187","0.7327223557692308","0.7327223557692308","0.7327223557692308","0.39055059523809527","0.39055059523809527","0.39055059523809527","0.32211538461538464","0.32211538461538464","0.32211538461538464"
"23","0.14881310096153846","0.14881310096153846","0.14881310096153846","0.11748798076923077","0.11748798076923077","0.11748798076923077","0.7316993775406505","0.7316993775406505","0.7316993775406505","0.7254607371794872","0.7254607371794872","0.7254607371794872","0.7636401168699187","0.7636401168699187","0.7636401168699187","0.7359525240384616","0.7359525240384616","0.7359525240384616","0.38370535714285714","0.38370535714285714","0.38370535714285714","0.32992788461538464","0.32992788461538464","0.32992788461538464"
"24","0.14378004807692307","0.14378004807692307","0.14378004807692307","0.1182391826923077","0.1182391826923077","0.1182391826923077","0.7297462525406505","0.7297462525406505","0.7297462525406505","0.6948367387820512","0.6948367387820512","0.6948367387820512","0.7679909806910569","0.7679909806910569","0.7679909806910569","0.7339743589743589","0.7339743589743589","0.7339743589743589","0.4038690476190476","0.4038690476190476","0.4038690476190476","0.31490384615384615","0.31490384615384615","0.31490384615384615"
"25","0.14490685096153846","0.14490685096153846","0.14490685096153846","0.1240985576923077","0.1240985576923077","0.1240985576923077","0.7272691183943089","0.7272691183943089","0.7272691183943089","0.7222055288461539","0.7222055288461539","0.7222055288461539","0.7688881478658537","0.7688881478658537","0.7688881478658537","0.7284655448717948","0.7284655448717948","0.7284655448717948","0.3805803571428571","0.3805803571428571","0.3805803571428571","0.3293269230769231","0.3293269230769231","0.3293269230769231"
"26","0.13919771634615385","0.13919771634615385","0.13919771634615385","0.13018329326923078","0.13018329326923078","0.13018329326923078","0.7279201600609756","0.7279201600609756","0.7279201600609756","0.7313201121794872","0.7313201121794872","0.7313201121794872","0.7506669207317073","0.7506669207317073","0.7506669207317073","0.7343499599358975","0.7343499599358975","0.7343499599358975","0.39538690476190474","0.39538690476190474","0.39538690476190474","0.3245192307692308","0.3245192307692308","0.3245192307692308"
"27","0.14911358173076922","0.14911358173076922","0.14911358173076922","0.12755408653846154","0.12755408653846154","0.12755408653846154","0.7341050558943089","0.7341050558943089","0.7341050558943089","0.7433643830128206","0.7433643830128206","0.7433643830128206","0.760107024898374","0.760107024898374","0.760107024898374","0.7434395032051282","0.7434395032051282","0.7434395032051282","0.4082589285714286","0.4082589285714286","0.4082589285714286","0.33774038461538464","0.33774038461538464","0.33774038461538464"
"28","0.15407151442307693","0.15407151442307693","0.15407151442307693","0.1328876201923077","0.1328876201923077","0.1328876201923077","0.7408536585365854","0.7408536585365854","0.7408536585365854","0.729717548076923","0.729717548076923","0.729717548076923","0.7617266895325203","0.7617266895325203","0.7617266895325203","0.7350010016025642","0.7350010016025642","0.7350010016025642","0.4055059523809524","0.4055059523809524","0.4055059523809524","0.34314903846153844","0.34314903846153844","0.34314903846153844"
"29","0.14693509615384615","0.14693509615384615","0.14693509615384615","0.1414513221153846","0.1414513221153846","0.1414513221153846","0.7406154725609756","0.7406154725609756","0.7406154725609756","0.7212540064102564","0.7212540064102564","0.7212540064102564","0.7649025025406505","0.7649025025406505","0.7649025025406505","0.7415114182692308","0.7415114182692308","0.7415114182692308","0.435639880952381","0.435639880952381","0.435639880952381","0.35396634615384615","0.35396634615384615","0.35396634615384615"
"30","0.16864483173076922","0.16864483173076922","0.16864483173076922","0.14603365384615385","0.14603365384615385","0.14603365384615385","0.7408219004065041","0.7408219004065041","0.7408219004065041","0.7504757612179488","0.7504757612179488","0.7504757612179488","0.7637274517276422","0.7637274517276422","0.7637274517276422","0.7268629807692308","0.7268629807692308","0.7268629807692308","0.4425595238095238","0.4425595238095238","0.4425595238095238","0.3473557692307692","0.3473557692307692","0.3473557692307692"
"31","0.15842848557692307","0.15842848557692307","0.15842848557692307","0.15797776442307693","0.15797776442307693","0.15797776442307693","0.7498888465447154","0.7498888465447154","0.7498888465447154","0.7260867387820512","0.7260867387820512","0.7260867387820512","0.7697853150406505","0.7697853150406505","0.7697853150406505","0.7421374198717948","0.7421374198717948","0.7421374198717948","0.4238095238095238","0.4238095238095238","0.4238095238095238","0.3479567307692308","0.3479567307692308","0.3479567307692308"
"32","0.1661658653846154","0.1661658653846154","0.1661658653846154","0.14603365384615385","0.14603365384615385","0.14603365384615385","0.7546446265243901","0.7546446265243901","0.7546446265243901","0.7231820913461539","0.7231820913461539","0.7231820913461539","0.7697853150406505","0.7697853150406505","0.7697853150406505","0.7415114182692308","0.7415114182692308","0.7415114182692308","0.44129464285714287","0.44129464285714287","0.44129464285714287","0.34915865384615385","0.34915865384615385","0.34915865384615385"
"33","0.16954627403846154","0.16954627403846154","0.16954627403846154","0.16458834134615385","0.16458834134615385","0.16458834134615385","0.7508257113821138","0.7508257113821138","0.7508257113821138","0.7479216746794872","0.7479216746794872","0.7479216746794872","0.7700711382113821","0.7700711382113821","0.7700711382113821","0.7431139823717948","0.7431139823717948","0.7431139823717948","0.4324404761904762","0.4324404761904762","0.4324404761904762","0.375","0.375","0.375"
"34","0.19486177884615385","0.19486177884615385","0.19486177884615385","0.16548978365384615","0.16548978365384615","0.16548978365384615","0.7523262830284553","0.7523262830284553","0.7523262830284553","0.7505008012820512","0.7505008012820512","0.7505008012820512","0.7717781377032521","0.7717781377032521","0.7717781377032521","0.7525540865384616","0.7525540865384616","0.7525540865384616","0.44441964285714286","0.44441964285714286","0.44441964285714286","0.3635817307692308","0.3635817307692308","0.3635817307692308"
"35","0.2039513221153846","0.2039513221153846","0.2039513221153846","0.1876502403846154","0.1876502403846154","0.1876502403846154","0.7565580538617885","0.7565580538617885","0.7565580538617885","0.7583383413461539","0.7583383413461539","0.7583383413461539","0.774096481199187","0.774096481199187","0.774096481199187","0.7398838141025642","0.7398838141025642","0.7398838141025642","0.4478422619047619","0.4478422619047619","0.4478422619047619","0.35396634615384615","0.35396634615384615","0.35396634615384615"
"36","0.19591346153846154","0.19591346153846154","0.19591346153846154","0.1776592548076923","0.1776592548076923","0.1776592548076923","0.7580268673780487","0.7580268673780487","0.7580268673780487","0.758964342948718","0.758964342948718","0.758964342948718","0.7820757113821138","0.7820757113821138","0.7820757113821138","0.7366286057692308","0.7366286057692308","0.7366286057692308","0.4635416666666667","0.4635416666666667","0.4635416666666667","0.38822115384615385","0.38822115384615385","0.38822115384615385"
"37","0.19471153846153846","0.19471153846153846","0.19471153846153846","0.18712439903846154","0.18712439903846154","0.18712439903846154","0.7620125127032521","0.7620125127032521","0.7620125127032521","0.7609425080128206","0.7609425080128206","0.7609425080128206","0.7693803988821138","0.7693803988821138","0.7693803988821138","0.7415114182692308","0.7415114182692308","0.7415114182692308","0.4703125","0.4703125","0.4703125","0.3659855769230769","0.3659855769230769","0.3659855769230769"
"38","0.19606370192307693","0.19606370192307693","0.19606370192307693","0.17037259615384615","0.17037259615384615","0.17037259615384615","0.7646166793699187","0.7646166793699187","0.7646166793699187","0.762870592948718","0.762870592948718","0.762870592948718","0.7736518673780487","0.7736518673780487","0.7736518673780487","0.7402093349358975","0.7402093349358975","0.7402093349358975","0.4745535714285714","0.4745535714285714","0.4745535714285714","0.390625","0.390625","0.390625"
"39","0.21927584134615385","0.21927584134615385","0.21927584134615385","0.20860877403846154","0.20860877403846154","0.20860877403846154","0.7675860645325203","0.7675860645325203","0.7675860645325203","0.7596404246794872","0.7596404246794872","0.7596404246794872","0.7882526676829268","0.7882526676829268","0.7882526676829268","0.7418369391025642","0.7418369391025642","0.7418369391025642","0.4573660714285714","0.4573660714285714","0.4573660714285714","0.39122596153846156","0.39122596153846156","0.39122596153846156"
"40","0.2156700721153846","0.2156700721153846","0.2156700721153846","0.2332481971153846","0.2332481971153846","0.2332481971153846","0.7601864202235772","0.7601864202235772","0.7601864202235772","0.7553836137820512","0.7553836137820512","0.7553836137820512","0.7810991488821138","0.7810991488821138","0.7810991488821138","0.7320713141025642","0.7320713141025642","0.7320713141025642","0.4919642857142857","0.4919642857142857","0.4919642857142857","0.40084134615384615","0.40084134615384615","0.40084134615384615"
"41","0.2478966346153846","0.2478966346153846","0.2478966346153846","0.27193509615384615","0.27193509615384615","0.27193509615384615","0.7592892530487805","0.7592892530487805","0.7592892530487805","0.7612429887820512","0.7612429887820512","0.7612429887820512","0.7807736280487805","0.7807736280487805","0.7807736280487805","0.7454176682692308","0.7454176682692308","0.7454176682692308","0.48727678571428573","0.48727678571428573","0.48727678571428573","0.4176682692307692","0.4176682692307692","0.4176682692307692"
"42","0.2793719951923077","0.2793719951923077","0.2793719951923077","0.2889873798076923","0.2889873798076923","0.2889873798076923","0.7701505335365854","0.7701505335365854","0.7701505335365854","0.7550831330128206","0.7550831330128206","0.7550831330128206","0.7924447408536586","0.7924447408536586","0.7924447408536586","0.7456931089743589","0.7456931089743589","0.7456931089743589","0.4945684523809524","0.4945684523809524","0.4945684523809524","0.4170673076923077","0.4170673076923077","0.4170673076923077"
