"Step","4l4h32-agtt-shortest-path (path) - train/f1","4l4h32-agtt-shortest-path (path) - train/f1__MIN","4l4h32-agtt-shortest-path (path) - train/f1__MAX","4l4h32-agtt-shortest-path (path) - val/f1","4l4h32-agtt-shortest-path (path) - val/f1__MIN","4l4h32-agtt-shortest-path (path) - val/f1__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/f1","5l64-mpnn-shortest-path (er+sbm+path) - train/f1__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/f1__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/f1","5l64-mpnn-shortest-path (er+sbm+path) - val/f1__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/f1__MAX","4l4h32-gps-shortest-path (er+sbm+path) - train/f1","4l4h32-gps-shortest-path (er+sbm+path) - train/f1__MIN","4l4h32-gps-shortest-path (er+sbm+path) - train/f1__MAX","4l4h32-gps-shortest-path (er+sbm+path) - val/f1","4l4h32-gps-shortest-path (er+sbm+path) - val/f1__MIN","4l4h32-gps-shortest-path (er+sbm+path) - val/f1__MAX","2l4h16-ibtt-shortest-path (path) - train/f1","2l4h16-ibtt-shortest-path (path) - train/f1__MIN","2l4h16-ibtt-shortest-path (path) - train/f1__MAX","2l4h16-ibtt-shortest-path (path) - val/f1","2l4h16-ibtt-shortest-path (path) - val/f1__MIN","2l4h16-ibtt-shortest-path (path) - val/f1__MAX"
"11","0.016379322127508394","0.016379322127508394","0.016379322127508394","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.22424949709116312","0.22424949709116312","0.22424949709116312","0.3743709135111599","0.3743709135111599","0.3743709135111599","0.21659090617111074","0.21659090617111074","0.21659090617111074","0.4220257638597678","0.4220257638597678","0.4220257638597678","0.1881143883236143","0.1881143883236143","0.1881143883236143","0.1755873993937564","0.1755873993937564","0.1755873993937564"
"12","0.022215571601539155","0.022215571601539155","0.022215571601539155","0.02066881220057129","0.02066881220057129","0.02066881220057129","0.2319069502079556","0.2319069502079556","0.2319069502079556","0.4032497625398091","0.4032497625398091","0.4032497625398091","0.2287898505278807","0.2287898505278807","0.2287898505278807","0.4053152521406586","0.4053152521406586","0.4053152521406586","0.211303709966283","0.211303709966283","0.211303709966283","0.1902248004472835","0.1902248004472835","0.1902248004472835"
"13","0.029132162000665734","0.029132162000665734","0.029132162000665734","0.031062476429521705","0.031062476429521705","0.031062476429521705","0.2433853615101401","0.2433853615101401","0.2433853615101401","0.4091812750730186","0.4091812750730186","0.4091812750730186","0.2392071611070422","0.2392071611070422","0.2392071611070422","0.38064257166845944","0.38064257166845944","0.38064257166845944","0.2077960837109917","0.2077960837109917","0.2077960837109917","0.1942343899637794","0.1942343899637794","0.1942343899637794"
"14","0.025450339260890315","0.025450339260890315","0.025450339260890315","0.01837232719977938","0.01837232719977938","0.01837232719977938","0.24501062292372935","0.24501062292372935","0.24501062292372935","0.41079758056160126","0.41079758056160126","0.41079758056160126","0.24285267127591012","0.24285267127591012","0.24285267127591012","0.4063753505553187","0.4063753505553187","0.4063753505553187","0.24217549360861584","0.24217549360861584","0.24217549360861584","0.24045667157543218","0.24045667157543218","0.24045667157543218"
"15","0.019150871034313975","0.019150871034313975","0.019150871034313975","0.01584373122363679","0.01584373122363679","0.01584373122363679","0.2704553109322334","0.2704553109322334","0.2704553109322334","0.42020011728441214","0.42020011728441214","0.42020011728441214","0.24855055219027697","0.24855055219027697","0.24855055219027697","0.4472247944599088","0.4472247944599088","0.4472247944599088","0.2649524456825021","0.2649524456825021","0.2649524456825021","0.2079425267457817","0.2079425267457817","0.2079425267457817"
"16","0.01630916183820709","0.01630916183820709","0.01630916183820709","0.017557191551545035","0.017557191551545035","0.017557191551545035","0.2751910309387648","0.2751910309387648","0.2751910309387648","0.4326000303372483","0.4326000303372483","0.4326000303372483","0.2740457299946288","0.2740457299946288","0.2740457299946288","0.46399679367236296","0.46399679367236296","0.46399679367236296","0.23666130610315014","0.23666130610315014","0.23666130610315014","0.2233999518249243","0.2233999518249243","0.2233999518249243"
"17","0.02038124872910483","0.02038124872910483","0.02038124872910483","0.021644840824465442","0.021644840824465442","0.021644840824465442","0.2697498845317579","0.2697498845317579","0.2697498845317579","0.42504912499489816","0.42504912499489816","0.42504912499489816","0.26476157016145047","0.26476157016145047","0.26476157016145047","0.4445489271877783","0.4445489271877783","0.4445489271877783","0.25333521609388127","0.25333521609388127","0.25333521609388127","0.2192939194929619","0.2192939194929619","0.2192939194929619"
"18","0.0292508685066318","0.0292508685066318","0.0292508685066318","0.03582954760240578","0.03582954760240578","0.03582954760240578","0.26819023252054547","0.26819023252054547","0.26819023252054547","0.42013592418912377","0.42013592418912377","0.42013592418912377","0.2716797439528266","0.2716797439528266","0.2716797439528266","0.4520075821447995","0.4520075821447995","0.4520075821447995","0.2733033132021687","0.2733033132021687","0.2733033132021687","0.2535463570072267","0.2535463570072267","0.2535463570072267"
"19","0.03826609571943904","0.03826609571943904","0.03826609571943904","0.026838548531073366","0.026838548531073366","0.026838548531073366","0.2737975679306279","0.2737975679306279","0.2737975679306279","0.4167021082775353","0.4167021082775353","0.4167021082775353","0.284284109842565","0.284284109842565","0.284284109842565","0.47447223816780154","0.47447223816780154","0.47447223816780154","0.2828631006222072","0.2828631006222072","0.2828631006222072","0.2299419556636761","0.2299419556636761","0.2299419556636761"
"20","0.046019850330499774","0.046019850330499774","0.046019850330499774","0.0320540082166903","0.0320540082166903","0.0320540082166903","0.2945742166341956","0.2945742166341956","0.2945742166341956","0.43306377503079335","0.43306377503079335","0.43306377503079335","0.28453165224383187","0.28453165224383187","0.28453165224383187","0.47341872596587825","0.47341872596587825","0.47341872596587825","0.3046615515919452","0.3046615515919452","0.3046615515919452","0.222923682543346","0.222923682543346","0.222923682543346"
