"Step","5l64-mpnn-shortest-path (path) - train/acc","5l64-mpnn-shortest-path (path) - train/acc__MIN","5l64-mpnn-shortest-path (path) - train/acc__MAX","5l64-mpnn-shortest-path (path) - val/acc","5l64-mpnn-shortest-path (path) - val/acc__MIN","5l64-mpnn-shortest-path (path) - val/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/acc","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/acc__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/acc","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/acc__MAX"
"25","0.6428786057692308","0.6428786057692308","0.6428786057692308","0.5857121394230769","0.5857121394230769","0.5857121394230769","0.7272691183943089","0.7272691183943089","0.7272691183943089","0.7222055288461539","0.7222055288461539","0.7222055288461539"
"26","0.6536959134615384","0.6536959134615384","0.6536959134615384","0.6151592548076923","0.6151592548076923","0.6151592548076923","0.7279201600609756","0.7279201600609756","0.7279201600609756","0.7313201121794872","0.7313201121794872","0.7313201121794872"
"27","0.6756310096153846","0.6756310096153846","0.6756310096153846","0.6010366586538461","0.6010366586538461","0.6010366586538461","0.7341050558943089","0.7341050558943089","0.7341050558943089","0.7433643830128206","0.7433643830128206","0.7433643830128206"
"28","0.6721754807692308","0.6721754807692308","0.6721754807692308","0.6629356971153846","0.6629356971153846","0.6629356971153846","0.7408536585365854","0.7408536585365854","0.7408536585365854","0.729717548076923","0.729717548076923","0.729717548076923"
"29","0.673828125","0.673828125","0.673828125","0.6351412259615384","0.6351412259615384","0.6351412259615384","0.7406154725609756","0.7406154725609756","0.7406154725609756","0.7212540064102564","0.7212540064102564","0.7212540064102564"
"30","0.6805138221153846","0.6805138221153846","0.6805138221153846","0.6678185096153846","0.6678185096153846","0.6678185096153846","0.7408219004065041","0.7408219004065041","0.7408219004065041","0.7504757612179488","0.7504757612179488","0.7504757612179488"
"31","0.6948617788461539","0.6948617788461539","0.6948617788461539","0.6746544471153846","0.6746544471153846","0.6746544471153846","0.7498888465447154","0.7498888465447154","0.7498888465447154","0.7260867387820512","0.7260867387820512","0.7260867387820512"
"32","0.6870492788461539","0.6870492788461539","0.6870492788461539","0.6707481971153846","0.6707481971153846","0.6707481971153846","0.7546446265243901","0.7546446265243901","0.7546446265243901","0.7231820913461539","0.7231820913461539","0.7231820913461539"
"33","0.6913311298076923","0.6913311298076923","0.6913311298076923","0.6766075721153846","0.6766075721153846","0.6766075721153846","0.7508257113821138","0.7508257113821138","0.7508257113821138","0.7479216746794872","0.7479216746794872","0.7479216746794872"
"34","0.6931340144230769","0.6931340144230769","0.6931340144230769","0.6754056490384616","0.6754056490384616","0.6754056490384616","0.7523262830284553","0.7523262830284553","0.7523262830284553","0.7505008012820512","0.7505008012820512","0.7505008012820512"
"35","0.7006460336538461","0.7006460336538461","0.7006460336538461","0.6793118990384616","0.6793118990384616","0.6793118990384616","0.7565580538617885","0.7565580538617885","0.7565580538617885","0.7583383413461539","0.7583383413461539","0.7583383413461539"
"36","0.7001201923076923","0.7001201923076923","0.7001201923076923","0.6744290865384616","0.6744290865384616","0.6744290865384616","0.7580268673780487","0.7580268673780487","0.7580268673780487","0.758964342948718","0.758964342948718","0.758964342948718"
"37","0.6988431490384616","0.6988431490384616","0.6988431490384616","0.6754056490384616","0.6754056490384616","0.6754056490384616","0.7620125127032521","0.7620125127032521","0.7620125127032521","0.7609425080128206","0.7609425080128206","0.7609425080128206"
"38","0.6988431490384616","0.6988431490384616","0.6988431490384616","0.6754056490384616","0.6754056490384616","0.6754056490384616","0.7646166793699187","0.7646166793699187","0.7646166793699187","0.762870592948718","0.762870592948718","0.762870592948718"
"39","0.7023737980769231","0.7023737980769231","0.7023737980769231","0.6705228365384616","0.6705228365384616","0.6705228365384616","0.7675860645325203","0.7675860645325203","0.7675860645325203","0.7596404246794872","0.7596404246794872","0.7596404246794872"
"40","0.7003455528846154","0.7003455528846154","0.7003455528846154","0.6724759615384616","0.6724759615384616","0.6724759615384616","0.7601864202235772","0.7601864202235772","0.7601864202235772","0.7553836137820512","0.7553836137820512","0.7553836137820512"
"41","0.7035757211538461","0.7035757211538461","0.7035757211538461","0.6724759615384616","0.6724759615384616","0.6724759615384616","0.7592892530487805","0.7592892530487805","0.7592892530487805","0.7612429887820512","0.7612429887820512","0.7612429887820512"
"42","0.7049278846153846","0.7049278846153846","0.7049278846153846","0.6773587740384616","0.6773587740384616","0.6773587740384616","0.7701505335365854","0.7701505335365854","0.7701505335365854","0.7550831330128206","0.7550831330128206","0.7550831330128206"
"43","0.7019230769230769","0.7019230769230769","0.7019230769230769","0.6783353365384616","0.6783353365384616","0.6783353365384616","0.7693803988821138","0.7693803988821138","0.7693803988821138","0.756034655448718","0.756034655448718","0.756034655448718"
"44","0.7025240384615384","0.7025240384615384","0.7025240384615384","0.6744290865384616","0.6744290865384616","0.6744290865384616","0.7688087525406505","0.7688087525406505","0.7688087525406505","0.7710336538461539","0.7710336538461539","0.7710336538461539"
"45","0.7025240384615384","0.7025240384615384","0.7025240384615384","0.6734525240384616","0.6734525240384616","0.6734525240384616","0.766283981199187","0.766283981199187","0.766283981199187","0.7664513221153846","0.7664513221153846","0.7664513221153846"
"46","0.7015474759615384","0.7015474759615384","0.7015474759615384","0.6763822115384616","0.6763822115384616","0.6763822115384616","0.7739773882113821","0.7739773882113821","0.7739773882113821","0.770683092948718","0.770683092948718","0.770683092948718"
"47","0.6988431490384616","0.6988431490384616","0.6988431490384616","0.6734525240384616","0.6734525240384616","0.6734525240384616","0.761083587398374","0.761083587398374","0.761083587398374","0.7557341746794872","0.7557341746794872","0.7557341746794872"
"48","0.6999699519230769","0.6999699519230769","0.6999699519230769","0.6744290865384616","0.6744290865384616","0.6744290865384616","0.7727150025406505","0.7727150025406505","0.7727150025406505","0.7664513221153846","0.7664513221153846","0.7664513221153846"
"49","0.6967397836538461","0.6967397836538461","0.6967397836538461","0.6695462740384616","0.6695462740384616","0.6695462740384616","0.7724688770325203","0.7724688770325203","0.7724688770325203","0.7674278846153846","0.7674278846153846","0.7674278846153846"
"50","0.7061298076923077","0.7061298076923077","0.7061298076923077","0.6754056490384616","0.6754056490384616","0.6754056490384616","0.7841479293699187","0.7841479293699187","0.7841479293699187","0.7723106971153846","0.7723106971153846","0.7723106971153846"
"51","0.7028245192307692","0.7028245192307692","0.7028245192307692","0.6812650240384616","0.6812650240384616","0.6812650240384616","0.7773516895325203","0.7773516895325203","0.7773516895325203","0.7749148637820512","0.7749148637820512","0.7749148637820512"
