"Step","4l4h32-agtt-zinc - train/loss","4l4h32-agtt-zinc - train/loss__MIN","4l4h32-agtt-zinc - train/loss__MAX","4l4h32-agtt-zinc - val/loss","4l4h32-agtt-zinc - val/loss__MIN","4l4h32-agtt-zinc - val/loss__MAX","2l4h16-ibtt-zinc - train/loss","2l4h16-ibtt-zinc - train/loss__MIN","2l4h16-ibtt-zinc - train/loss__MAX","2l4h16-ibtt-zinc - val/loss","2l4h16-ibtt-zinc - val/loss__MIN","2l4h16-ibtt-zinc - val/loss__MAX","4l4h32-gps-zinc - train/loss","4l4h32-gps-zinc - train/loss__MIN","4l4h32-gps-zinc - train/loss__MAX","4l4h32-gps-zinc - val/loss","4l4h32-gps-zinc - val/loss__MIN","4l4h32-gps-zinc - val/loss__MAX","5l64-mpnn-zinc - train/loss","5l64-mpnn-zinc - train/loss__MIN","5l64-mpnn-zinc - train/loss__MAX","5l64-mpnn-zinc - val/loss","5l64-mpnn-zinc - val/loss__MIN","5l64-mpnn-zinc - val/loss__MAX"
"1","1.1644870035256012","1.1644870035256012","1.1644870035256012","1.417584091424942","1.417584091424942","1.417584091424942","1.0482834056962895","1.0482834056962895","1.0482834056962895","1.0076395720243454","1.0076395720243454","1.0076395720243454","","","","","","","1.0380658514891998","1.0380658514891998","1.0380658514891998","1.0320441722869873","1.0320441722869873","1.0320441722869873"
"2","0.9754254802872863","0.9754254802872863","0.9754254802872863","1.2165488600730896","1.2165488600730896","1.2165488600730896","1.0075653187836273","1.0075653187836273","1.0075653187836273","0.8869733512401581","0.8869733512401581","0.8869733512401581","1.4563415910624251","1.4563415910624251","1.4563415910624251","1.433367058634758","1.433367058634758","1.433367058634758","0.858672338195994","0.858672338195994","0.858672338195994","0.8100812435150146","0.8100812435150146","0.8100812435150146"
"3","0.8899151396147812","0.8899151396147812","0.8899151396147812","0.8711163997650146","0.8711163997650146","0.8711163997650146","0.8519300494012954","0.8519300494012954","0.8519300494012954","0.9889650121331215","0.9889650121331215","0.9889650121331215","1.236553745933726","1.236553745933726","1.236553745933726","1.1121144741773605","1.1121144741773605","1.1121144741773605","0.7920925187159188","0.7920925187159188","0.7920925187159188","0.7270452752709389","0.7270452752709389","0.7270452752709389"
"4","0.8289121034779127","0.8289121034779127","0.8289121034779127","0.8139996156096458","0.8139996156096458","0.8139996156096458","0.7826287218287021","0.7826287218287021","0.7826287218287021","0.7285004332661629","0.7285004332661629","0.7285004332661629","0.963097567045236","0.963097567045236","0.963097567045236","1.1601541563868523","1.1601541563868523","1.1601541563868523","0.7719923363456244","0.7719923363456244","0.7719923363456244","0.6914971321821213","0.6914971321821213","0.6914971321821213"
"5","0.8255388985706281","0.8255388985706281","0.8255388985706281","0.8645935580134392","0.8645935580134392","0.8645935580134392","0.7711680667309821","0.7711680667309821","0.7711680667309821","0.685985766351223","0.685985766351223","0.685985766351223","0.8754168718676024","0.8754168718676024","0.8754168718676024","1.1151419878005981","1.1151419878005981","1.1151419878005981","0.7306758980207806","0.7306758980207806","0.7306758980207806","0.6829038336873055","0.6829038336873055","0.6829038336873055"
"6","0.8251071489309962","0.8251071489309962","0.8251071489309962","0.7744357660412788","0.7744357660412788","0.7744357660412788","0.7422626682474643","0.7422626682474643","0.7422626682474643","0.700537882745266","0.700537882745266","0.700537882745266","0.8351054274583165","0.8351054274583165","0.8351054274583165","1.0024076327681541","1.0024076327681541","1.0024076327681541","0.7076359636421445","0.7076359636421445","0.7076359636421445","0.7672237083315849","0.7672237083315849","0.7672237083315849"
"7","0.7948533281495299","0.7948533281495299","0.7948533281495299","0.7997738644480705","0.7997738644480705","0.7997738644480705","0.7347918552688405","0.7347918552688405","0.7347918552688405","0.6892033889889717","0.6892033889889717","0.6892033889889717","0.7805322257778312","0.7805322257778312","0.7805322257778312","0.8675190657377243","0.8675190657377243","0.8675190657377243","0.695947960207734","0.695947960207734","0.695947960207734","0.670966275036335","0.670966275036335","0.670966275036335"
"8","0.8076389673389966","0.8076389673389966","0.8076389673389966","0.8808043599128723","0.8808043599128723","0.8808043599128723","0.704936812950086","0.704936812950086","0.704936812950086","0.7229915112257004","0.7229915112257004","0.7229915112257004","0.7338532729993893","0.7338532729993893","0.7338532729993893","1.1718883216381073","1.1718883216381073","1.1718883216381073","0.681675244735766","0.681675244735766","0.681675244735766","0.6997231990098953","0.6997231990098953","0.6997231990098953"
"9","0.8009428019765057","0.8009428019765057","0.8009428019765057","0.7593299597501755","0.7593299597501755","0.7593299597501755","0.6880906103532526","0.6880906103532526","0.6880906103532526","0.7143230885267258","0.7143230885267258","0.7143230885267258","0.7157097149498856","0.7157097149498856","0.7157097149498856","1.0288100019097328","1.0288100019097328","1.0288100019097328","0.6720498083512995","0.6720498083512995","0.6720498083512995","0.6517424359917641","0.6517424359917641","0.6517424359917641"
"10","0.790516920482056","0.790516920482056","0.790516920482056","0.96998580545187","0.96998580545187","0.96998580545187","0.6795699785027323","0.6795699785027323","0.6795699785027323","0.6673213839530945","0.6673213839530945","0.6673213839530945","0.675046747243857","0.675046747243857","0.675046747243857","0.8251519501209259","0.8251519501209259","0.8251519501209259","0.6673145667661594","0.6673145667661594","0.6673145667661594","0.6257301419973373","0.6257301419973373","0.6257301419973373"
"11","0.8194573778140394","0.8194573778140394","0.8194573778140394","0.7705228850245476","0.7705228850245476","0.7705228850245476","0.6651681752144536","0.6651681752144536","0.6651681752144536","0.6496449038386345","0.6496449038386345","0.6496449038386345","0.6682761960391757","0.6682761960391757","0.6682761960391757","0.9668935164809227","0.9668935164809227","0.9668935164809227","0.6538311129883875","0.6538311129883875","0.6538311129883875","0.6571468338370323","0.6571468338370323","0.6571468338370323"
"12","0.8017471055441265","0.8017471055441265","0.8017471055441265","0.8298918828368187","0.8298918828368187","0.8298918828368187","0.6641073294832737","0.6641073294832737","0.6641073294832737","0.6673545613884926","0.6673545613884926","0.6673545613884926","0.6408521174630032","0.6408521174630032","0.6408521174630032","0.9260609671473503","0.9260609671473503","0.9260609671473503","0.647678595177735","0.647678595177735","0.647678595177735","0.6486914530396461","0.6486914530396461","0.6486914530396461"
"13","0.7570001150988326","0.7570001150988326","0.7570001150988326","0.7705666124820709","0.7705666124820709","0.7705666124820709","0.6529088495652887","0.6529088495652887","0.6529088495652887","0.6623562797904015","0.6623562797904015","0.6623562797904015","0.6320288837710514","0.6320288837710514","0.6320288837710514","0.7482126802206039","0.7482126802206039","0.7482126802206039","0.6308624495433856","0.6308624495433856","0.6308624495433856","0.623217836022377","0.623217836022377","0.623217836022377"
"14","0.7725430885447732","0.7725430885447732","0.7725430885447732","0.8540987521409988","0.8540987521409988","0.8540987521409988","0.6472144628627391","0.6472144628627391","0.6472144628627391","0.6603377759456635","0.6603377759456635","0.6603377759456635","0.62674599018278","0.62674599018278","0.62674599018278","0.8020811975002289","0.8020811975002289","0.8020811975002289","0.6223188533058649","0.6223188533058649","0.6223188533058649","0.5713891796767712","0.5713891796767712","0.5713891796767712"
"15","0.7447281683547587","0.7447281683547587","0.7447281683547587","0.8829441368579865","0.8829441368579865","0.8829441368579865","0.6658277338064169","0.6658277338064169","0.6658277338064169","0.640152208507061","0.640152208507061","0.640152208507061","0.606180640715587","0.606180640715587","0.606180640715587","0.7120487689971924","0.7120487689971924","0.7120487689971924","0.6244735763042788","0.6244735763042788","0.6244735763042788","0.6089650094509125","0.6089650094509125","0.6089650094509125"
"16","0.7849742792829683","0.7849742792829683","0.7849742792829683","0.7266630306839943","0.7266630306839943","0.7266630306839943","0.6423856744283363","0.6423856744283363","0.6423856744283363","0.6284477263689041","0.6284477263689041","0.6284477263689041","0.5890958988213841","0.5890958988213841","0.5890958988213841","0.7609483003616333","0.7609483003616333","0.7609483003616333","0.6185612648348265","0.6185612648348265","0.6185612648348265","0.6776187866926193","0.6776187866926193","0.6776187866926193"
"17","0.738446907529348","0.738446907529348","0.738446907529348","0.7279724776744843","0.7279724776744843","0.7279724776744843","0.6491253651395629","0.6491253651395629","0.6491253651395629","0.6663497537374496","0.6663497537374496","0.6663497537374496","0.571158636974383","0.571158636974383","0.571158636974383","0.760860800743103","0.760860800743103","0.760860800743103","0.6051118505906455","0.6051118505906455","0.6051118505906455","0.6080325245857239","0.6080325245857239","0.6080325245857239"
"18","0.72727598721468","0.72727598721468","0.72727598721468","0.7157071828842163","0.7157071828842163","0.7157071828842163","0.6566525248787071","0.6566525248787071","0.6566525248787071","0.6562863737344742","0.6562863737344742","0.6562863737344742","0.5641587086116211","0.5641587086116211","0.5641587086116211","0.8200117275118828","0.8200117275118828","0.8200117275118828","0.6085096891922287","0.6085096891922287","0.6085096891922287","0.5919069983065128","0.5919069983065128","0.5919069983065128"
