"Step","4l4h32-agtt-shortest-path (path) - train/acc","4l4h32-agtt-shortest-path (path) - train/acc__MIN","4l4h32-agtt-shortest-path (path) - train/acc__MAX","4l4h32-agtt-shortest-path (path) - val/acc","4l4h32-agtt-shortest-path (path) - val/acc__MIN","4l4h32-agtt-shortest-path (path) - val/acc__MAX","4l4h32-agtt-shortest-path (er) - train/acc","4l4h32-agtt-shortest-path (er) - train/acc__MIN","4l4h32-agtt-shortest-path (er) - train/acc__MAX","4l4h32-agtt-shortest-path (er) - val/acc","4l4h32-agtt-shortest-path (er) - val/acc__MIN","4l4h32-agtt-shortest-path (er) - val/acc__MAX","4l4h32-agtt-shortest-path (er+sbm+path) - train/acc","4l4h32-agtt-shortest-path (er+sbm+path) - train/acc__MIN","4l4h32-agtt-shortest-path (er+sbm+path) - train/acc__MAX","4l4h32-agtt-shortest-path (er+sbm+path) - val/acc","4l4h32-agtt-shortest-path (er+sbm+path) - val/acc__MIN","4l4h32-agtt-shortest-path (er+sbm+path) - val/acc__MAX"
"1","0.1192157451923077","0.1192157451923077","0.1192157451923077","0.1015625","0.1015625","0.1015625","0.3224881329113924","0.3224881329113924","0.3224881329113924","0.31525440705128205","0.31525440705128205","0.31525440705128205","0.2884548611111111","0.2884548611111111","0.2884548611111111","0.29249004289215685","0.29249004289215685","0.29249004289215685"
"2","0.14107572115384615","0.14107572115384615","0.14107572115384615","0.12913161057692307","0.12913161057692307","0.12913161057692307","0.3293611550632911","0.3293611550632911","0.3293611550632911","0.31818409455128205","0.31818409455128205","0.31818409455128205","0.3110894097222222","0.3110894097222222","0.3110894097222222","0.29900045955882354","0.29900045955882354","0.29900045955882354"
"3","0.1466346153846154","0.1466346153846154","0.1466346153846154","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.3327605814873418","0.3327605814873418","0.3327605814873418","0.31720753205128205","0.31720753205128205","0.31720753205128205","0.32510850694444443","0.32510850694444443","0.32510850694444443","0.31071920955882354","0.31071920955882354","0.31071920955882354"
"4","0.14716045673076922","0.14716045673076922","0.14716045673076922","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.3238355419303798","0.3238355419303798","0.3238355419303798","0.31818409455128205","0.31818409455128205","0.31818409455128205","0.32265625000000003","0.32265625000000003","0.32265625000000003","0.30137484681372545","0.30137484681372545","0.30137484681372545"
"5","0.1436298076923077","0.1436298076923077","0.1436298076923077","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.32875543908227844","0.32875543908227844","0.32875543908227844","0.32209034455128205","0.32209034455128205","0.32209034455128205","0.31692708333333336","0.31692708333333336","0.31692708333333336","0.30803844975490197","0.30803844975490197","0.30803844975490197"
"6","0.14723557692307693","0.14723557692307693","0.14723557692307693","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.31437895569620256","0.31437895569620256","0.31437895569620256","0.32759915865384615","0.32759915865384615","0.32759915865384615","0.31807725694444444","0.31807725694444444","0.31807725694444444","0.32596124387254904","0.32596124387254904","0.32596124387254904"
"7","0.14505709134615385","0.14505709134615385","0.14505709134615385","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.31936066060126583","0.31936066060126583","0.31936066060126583","0.31623096955128205","0.31623096955128205","0.31623096955128205","0.32473958333333336","0.32473958333333336","0.32473958333333336","0.32929304534313725","0.32929304534313725","0.32929304534313725"
"8","0.1483623798076923","0.1483623798076923","0.1483623798076923","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.32959602452531644","0.32959602452531644","0.32959602452531644","0.34545272435897434","0.34545272435897434","0.34545272435897434","0.3332248263888889","0.3332248263888889","0.3332248263888889","0.3387331495098039","0.3387331495098039","0.3387331495098039"
"9","0.14708533653846154","0.14708533653846154","0.14708533653846154","0.13596754807692307","0.13596754807692307","0.13596754807692307","0.3526626780063291","0.3526626780063291","0.3526626780063291","0.33178084935897434","0.33178084935897434","0.33178084935897434","0.3453776041666667","0.3453776041666667","0.3453776041666667","0.3340035232843137","0.3340035232843137","0.3340035232843137"
"10","0.1515174278846154","0.1515174278846154","0.1515174278846154","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.3575084058544304","0.3575084058544304","0.3575084058544304","0.31755809294871795","0.31755809294871795","0.31755809294871795","0.34079861111111115","0.34079861111111115","0.34079861111111115","0.33319929534313725","0.33319929534313725","0.33319929534313725"
"11","0.14670973557692307","0.14670973557692307","0.14670973557692307","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.33559137658227844","0.33559137658227844","0.33559137658227844","0.32111378205128205","0.32111378205128205","0.32111378205128205","0.3389973958333334","0.3389973958333334","0.3389973958333334","0.3287951899509804","0.3287951899509804","0.3287951899509804"
"12","0.14295372596153846","0.14295372596153846","0.14295372596153846","0.130859375","0.130859375","0.130859375","0.33303253560126583","0.33303253560126583","0.33303253560126583","0.33275741185897434","0.33275741185897434","0.33275741185897434","0.32979600694444444","0.32979600694444444","0.32979600694444444","0.32791436887254904","0.32791436887254904","0.32791436887254904"
"13","0.13521634615384615","0.13521634615384615","0.13521634615384615","0.13040865384615385","0.13040865384615385","0.13040865384615385","0.3455918710443038","0.3455918710443038","0.3455918710443038","0.32982772435897434","0.32982772435897434","0.32982772435897434","0.33200954861111115","0.33200954861111115","0.33200954861111115","0.32936963848039214","0.32936963848039214","0.32936963848039214"
"14","0.13311298076923078","0.13311298076923078","0.13311298076923078","0.1328125","0.1328125","0.1328125","0.3165298655063291","0.3165298655063291","0.3165298655063291","0.32885116185897434","0.32885116185897434","0.32885116185897434","0.34136284722222215","0.34136284722222215","0.34136284722222215","0.33913526348039214","0.33913526348039214","0.33913526348039214"
"15","0.14528245192307693","0.14528245192307693","0.14528245192307693","0.13401442307692307","0.13401442307692307","0.13401442307692307","0.3166658425632911","0.3166658425632911","0.3166658425632911","0.31685697115384615","0.31685697115384615","0.31685697115384615","0.33908420138888884","0.33908420138888884","0.33908420138888884","0.33457797181372545","0.33457797181372545","0.33457797181372545"
