"Step","5l64-mpnn-shortest-path (path) - train/f1","5l64-mpnn-shortest-path (path) - train/f1__MIN","5l64-mpnn-shortest-path (path) - train/f1__MAX","5l64-mpnn-shortest-path (path) - val/f1","5l64-mpnn-shortest-path (path) - val/f1__MIN","5l64-mpnn-shortest-path (path) - val/f1__MAX","5l64-mpnn-shortest-path (er+sbm+path) - train/f1","5l64-mpnn-shortest-path (er+sbm+path) - train/f1__MIN","5l64-mpnn-shortest-path (er+sbm+path) - train/f1__MAX","5l64-mpnn-shortest-path (er+sbm+path) - val/f1","5l64-mpnn-shortest-path (er+sbm+path) - val/f1__MIN","5l64-mpnn-shortest-path (er+sbm+path) - val/f1__MAX"
"2","0.06427337846062917","0.06427337846062917","0.06427337846062917","0.014678387525260789","0.014678387525260789","0.014678387525260789","0.08293603383541036","0.08293603383541036","0.08293603383541036","0.14213213270678537","0.14213213270678537","0.14213213270678537"
"3","0.08662193548456766","0.08662193548456766","0.08662193548456766","0.014678387525260789","0.014678387525260789","0.014678387525260789","0.0914521226198647","0.0914521226198647","0.0914521226198647","0.19965501585964737","0.19965501585964737","0.19965501585964737"
"4","0.10227111145059195","0.10227111145059195","0.10227111145059195","0.025358372636173174","0.025358372636173174","0.025358372636173174","0.10917050534633498","0.10917050534633498","0.10917050534633498","0.2477341194148265","0.2477341194148265","0.2477341194148265"
"5","0.16309500565739934","0.16309500565739934","0.16309500565739934","0.08292005640883697","0.08292005640883697","0.08292005640883697","0.1378543026518597","0.1378543026518597","0.1378543026518597","0.2889744332901689","0.2889744332901689","0.2889744332901689"
"6","0.19127917254188903","0.19127917254188903","0.19127917254188903","0.17801953458140057","0.17801953458140057","0.17801953458140057","0.165752158480489","0.165752158480489","0.165752158480489","0.31378089659552894","0.31378089659552894","0.31378089659552894"
"7","0.21206564454427862","0.21206564454427862","0.21206564454427862","0.2277185207560446","0.2277185207560446","0.2277185207560446","0.17916008956974658","0.17916008956974658","0.17916008956974658","0.34772911139810553","0.34772911139810553","0.34772911139810553"
"8","0.22840290767850274","0.22840290767850274","0.22840290767850274","0.25951834464686835","0.25951834464686835","0.25951834464686835","0.19878138977161428","0.19878138977161428","0.19878138977161428","0.3566696127508808","0.3566696127508808","0.3566696127508808"
"9","0.251565445897523","0.251565445897523","0.251565445897523","0.2602918977236039","0.2602918977236039","0.2602918977236039","0.20379067881797785","0.20379067881797785","0.20379067881797785","0.3740595351060724","0.3740595351060724","0.3740595351060724"
"10","0.27393484693732517","0.27393484693732517","0.27393484693732517","0.26627619866340546","0.26627619866340546","0.26627619866340546","0.2244758254902446","0.2244758254902446","0.2244758254902446","0.346143719735961","0.346143719735961","0.346143719735961"
"11","0.27144439881262594","0.27144439881262594","0.27144439881262594","0.26821907810902823","0.26821907810902823","0.26821907810902823","0.22424949709116312","0.22424949709116312","0.22424949709116312","0.3743709135111599","0.3743709135111599","0.3743709135111599"
